Automação, Automação de processos, Automação de testes, Design de sistemas de controle, Engenharia,létrica, Garantia de qualidade, Robot Framework, Robótica, Solução de problemas técnicos, Tia Portal da Siemens
Análise de logs, Automação de testes, Banco de dados, Bancos de dados relacionais, Cenários de testes, Cucumber, Planejamento de testes, Práticas de testes, Testes funcionais, Testes ágeis
Ciência da computação, Comunicação, Estudos de casos, Garantia de qualidade, Planejamento de testes, Resolução de problemas, Teste de regressão
Comunicação, Dados de teste, Documentação, Engenharia de garantia da qualidade, Estudos de casos, Garantia de qualidade, Teste de dispositivos móveis, Teste de software, Testes de banco de dados, Testes manuais
Automação de QA, Data warehouse, ESL (Inglês como segunda língua), ETL (Extração, transformação, carregamento), Engenharia de garantia da qualidade, Ferramentas de automação de testes, Garantia de qualidade, Teste de dispositivos móveis, Teste de software, Testes de API
API REST, Desenvolvimento de software, DevOps, Garantia de qualidade, GitHub, Inglês, JMeter, PostgreSQL, SQL, Teste de unidade
Automação de QA, Automação de testes, Desenvolvimento de back-end, Estudos de casos, Garantia de qualidade, Planejamento de testes, Root Cause, Testes de API, Testes de banco de dados, Testes manuais
Automação de testes, Depuração, Ferramentas de automação de testes, Inglês, Interface gráfica de usuário, Java, JavaScript, Selenium, Solução de problemas técnicos, Testes manuais
Análise de causa raiz (RCA), Automação de QA, Automação de testes, Cypress, Garantia de qualidade, JIRA, Root Cause, Selenium, Testes de API, Testes manuais
Hardware-in-the-Loop, NI LabVIEW, NI TestStand, Telemática, Testes manuais
Automação de testes, Ciência da computação, Comunicação, Estudos de casos, Garantia de qualidade, Planejamento de testes, Resolução de problemas, Sistemas de software, Teste de desempenho, Testes de API
Análise de dados, Automação, Automação de processos, Automação industrial, Competências interpessoais, Controle de processos, Programação de interface homem-máquina, Sistema de identificação de materiais perigosos (HMIS), Técnicos,m campo, WinCC
Automação de testes, C#, Composição de textos dramatúrgicos, Cypress, Estudos de casos, Scripts de testes, Selenium, Teste de integração, Teste de sistemas, Teste de software
Arquitetura de sistema, Banco de dados, Comunicação, Desenvolvimento de software, Estudos de casos, Mapeamento objeto-relacional, Revisão de código, Testabilidade, Teste de software, User Requirements
Circuitos ASIC, Comunicação, Coordenação de,quipe, Coverage Analysis, Criação de scripts, Depuração, Power Estimation, Validação de sistemas computadorizados, Verificação funcional
Análise de causa raiz (RCA), Automação de QA, Automação de testes, Cypress, Garantia de qualidade, JIRA, Root Cause, Selenium, Testes de API, Testes manuais
Banco de dados, Encriptação, Engenharia, Gestão de incidentes, Gestão de licenças, Gestão de vulnerabilidade, Hardware Infrastructure, Inglês, Relatórios de indicadores-chave de desempenho (KPI), Solução de problemas técnicos
Amazon Web Services, DevOps, Docker, Git, Integração,,ntrega contínuas (CI/CD), Java, Jenkins, Kubernetes, Linux, Sonarqube
Garantia de qualidade, Hacking ético, Inglês, Kali Linux, Linux, Planejamento de testes, Realização de testes, Segurança de aplicativos web, Segurança de aplicações, Segurança de rede
Administração Unix, Administração de sistemas Linux, Automação de testes, DevOps, Ferramentas de automação de testes, Infraestrutura como código (IaC), Inglês, Integração,,ntrega contínuas (CI/CD), Linux, Resolução de problemas
Ciência da computação, Ciência de dados, Ciências atmosféricas, Comunicação, Controle de versão, ETL (Extração, transformação, carregamento), Engenharia de dados, Qualidade dos dados, Resolução de problemas, Transferência de dados
Aplicativos web, Automação, Desenvolvimento de software, Ferramentas de teste, Garantia de qualidade, Google Cloud Platform (GCP), Java, Padrões de codificação, Revisão de código, Teste de software
Amazon Web Services, C#, JSON, Linguagens de programação, PL/SQL, SQL, Shell script, UML (Linguagem de modelagem unificada), Visual Basic, XML
Capacidade de organização, Comunicação,scrita, Experiência profissional, Gestão de reclamações, Proficiência,m informática, Resolução de problemas
Bluetooth, Documentação técnica, Firmware, Processamento de sinal digital, Programação (computação), Programação orientada a objetos (POO), Receptor/transmissor assíncrono universal, Sistema operacional de tempo-real, Sistemas incorporados, Software incorporado
Ansible, Criação de scripts, DevOps, DevSecOps, Docker, Engenharia, Integração contínua, Kubernetes, Terraform, Windows Azure
CICS, COBOL, COBOL II, Filas, Fileaid, IMSDB, Mainframe, Processamento,m lote, Serena Changeman, VSAM
Ciência da computação, Controle de voo, Coverage Analysis, DO-254, Linguagem VHDL, Rastreabilidade, Requisitos de software, Simulink, Softwares de controle, Verilog
Automação de testes, Comunicação, Depuração, Engenharia de teste, Feedback construtivo, Pensamento crítico, Planejamento de testes, Teste de dispositivos móveis, Teste de software, Testes de segurança
Automação de testes, Comunicação, Depuração, Engenharia de teste, Feedback construtivo, Pensamento crítico, Planejamento de testes, Teste de dispositivos móveis, Teste de software, Testes de segurança
Arquitetura técnica, CSS, Comunicação, Desenvolvimento de software, Documentação, Estruturas de dados, Padrões de design, Programação orientada a objetos (POO), Regulamento geral sobre a proteção de dados (RGPD), TypeScript
Arquitetura técnica, CSS, Comunicação, Desenvolvimento de software, Documentação, Estruturas de dados, Padrões de design, Programação orientada a objetos (POO), Regulamento geral sobre a proteção de dados (RGPD), TypeScript
Desenvolvimento aplicativos para desktop, Desenvolvimento de sistemas, Desenvolvimento de software, Estudos de casos, Iniciação, Lógica de negócios, Requisitos de negócio, Resolução de problemas, Tech-Savvy, Teste de software
AKS (Serviço de Kubernetes do Azure), Ansible, Desenvolvimento de software, DevOps, Docker, Fornecimento contínuo, Implantação de software, Integração contínua, Terraform, Windows Azure
BRF, Contabilidade,statuária, Controle de processos, Experiência da implementação, Implementação SAP, Processos,mpresariais, SAP ERP, SAP GRC Access Control, Screen Design, Situações de pressão
Apresentações, Comunicação, Contas a receber, Habilidades analíticas, Inglês, Produtos SAP, Resolução de problemas, SAP FICO, SAP IS-U, Solução de problemas técnicos
Ciência da computação, Desenvolvimento de software, Equipes de projeto, Gestão de produtos, Hardware,letrônico, Planejamento de testes, Programação (computação), Resolução de problemas, Resolving Issues, Revisões de design
Administração de folha de pagamento, Automação de testes, Cenários de testes, Estrutura de automação de testes, Estudos de casos, Garantia de qualidade, Padrões de codificação, Sprints, Testes de produto, Timelines
Avaliação de vulnerabilidades, Comunicação, Comunicação oral, Controles de segurança, Engenharia de segurança de sistemas, Gestão de vulnerabilidade, Modelagem de ameaças, Segurança da informação, Segurança de aplicações, Vulnerability
Ajuste de desempenho, Ciência da computação, Engenharia de desempenho, Gestão de desempenho de aplicativo, Métricas de desempenho, Otimização, Planejamento de capacidades, System Performance, Teste de desempenho, Testes de carga
Ciência da computação, Depuração, Engenharia de Computação, Integração de software, Kernel Linux, Rastreamento de defeitos, Requisitos de sistemas, Requisitos de software, Revisão de código, Sistema operacional de tempo-real
Auditoria da qualidade, Automação de testes, Ferramentas de teste, Garantia de qualidade, Planejamento de testes, Qualidade do produto, Scripts de testes, Skill Development, Teste de usabilidade, Trabalho,m,quipe
Comunicação, Desenvolvimento de aplicativos, Design de frameworks, Inglês, LoadRunner, Microsoft Visual Studio, Skill Development, Splunk, Teste de desempenho, Windows Azure
C#, JavaScript, Microsoft SQL Server, NoSQL, Plug-ins, Python, SRE (Engenharia de confiabilidade do site)
Arquitetura SAP, Contabilidade,statuária, Experiência da implementação, FI-CA, Functionality, Gravação de vídeos, Implementação SAP, Relacionamento com clientes, Resolução de problemas, Situações de alta pressão
Arquitetura de integração, Ciência da computação, Desenvolvimento de software, Engenharia do conhecimento, Especialistas no assunto, Integração de dados, Pesquisa aplicada, Relatórios científicos, Representação de conhecimento, raciocínio, Scientific Papers
Aplicativos web, Ciclo de vida de sistemas de informação, Desenvolvimento aplicativos da web, Desenvolvimento de aplicativos, Design de,xperiência do usuário (UX), Experiência do usuário (UX), JavaScript, Metodologias Agile, OutSystems, SQL
Benefícios de funcionários, Corte,m cubos, Desenvolvimento profissional, Engenharia, GitHub, Java, Jenkins, Liderança, Promoção da inclusão, Python
Avaliação de vulnerabilidades, Controles de segurança, Design de arquitetura de segurança, Segurança, Segurança de aplicações, Segurança de nuvem, Segurança,m infraestrutura, Small and Medium-Sized Enterprises (SME), Source Intelligence, Teste de penetração
Automação de QA, Automação de testes, Documentação, Garantia de qualidade, Inglês, JIRA, Planejamento de testes, Teste de regressão, Teste de software, Testes de API
Análise de sistemas, Banco de dados, Ciência da computação, Colaboração,m várias funções, Comunicação, Configuração de sistema, Documentação, Habilidades analíticas, Inglês, Windows Azure
AWS Lambda, Amazon Redshift, Amazon Web Services, Apache Spark, Data warehouse, Esquema,strela, JIRA, PostgreSQL, SQL, Snowflake Cloud
Automação de QA, Automação de testes, Documentação, Garantia de qualidade, Inglês, JIRA, Planejamento de testes, Teste de regressão, Teste de software, Testes de API
Análise de dados, Banco de dados Oracle, Habilidades analíticas, Inglês, Java, Neo4j, Python, SQL, Snowflake, Snowflake Cloud
Análise de malware, Apresentações, Apresentações de vendas, Ciência da computação, Demonstração de produtos, Habilidades de apresentação, Linux, Pré-vendas, Resposta a incidentes, Unix
Automação de testes, CAPA, Cobertura, Controle de qualidade, Estudos de casos, Garantia de qualidade, Garantia de qualidade de software, Indicadores-chave de desempenho, Selenium, Sistema de qualidade
Automação de QA, Automação de testes, Documentação, Garantia de qualidade, Inglês, JIRA, Planejamento de testes, Teste de regressão, Teste de software, Testes de API
C++, Ciência da computação, Conceitos de programação, Controle de versão, Fornecimento contínuo, GitLab, Inglês, Linguagens de programação, Python, Revisão de código
ABAP, Arquitetura SAP, Contabilidade,statuária, GRC, Implementação SAP, Processos,mpresariais, Produtos SAP, SAP ERP, Situações de pressão, Solução de problemas técnicos
Application Managed Services, Banco de dados Oracle, Functionality, Global Implementations, Objetos personalizados, Oracle Financials, Processos,mpresariais, Relacionamento com clientes, Situações de pressão,,Business Suite
Banco de dados, Computação,m nuvem, Configuração de rede, Criação de scripts, Estratégias de otimização, Gerenciamento de certificados, OAuth, Projeto orientado por domínio, SRE (Engenharia de confiabilidade do site), gRPC
Arquitetura SAP, Ciência da computação, Finanças, Gestão de riscos, Inglês, Produtos SAP, Relacionamento com clientes, Resolução de problemas, SAP FI, SAP FICO
ITIL, JSP (JavaServer Pages), Java, Metodologias Agile, Produtos SAP, SAP ERP, SAP FICO, SAP Netweaver, SAP Portal, SAPUI5
Circuitos ASIC, Cobertura de testes, DFT, Engenharia de teste, Estudos de casos, Gerador de padrões de teste automático, Sequenciamento, Teste de sistemas, Teste de software, Testes funcionais
ABAP, Contabilidade,statuária, Experiência da implementação, ISU, Language Skills, Português, Processos,mpresariais, SAP ERP, SAP FICO, Statutory
AJAX, ASP.NET, ASP.NET MVC, Analyzer, Banco de dados, HTML, Java, Mainframe, Microfocus, SQL
Azure Data Factory, Engenharia de dados, Microsoft Power BI, SQL
Apache Spark, Bancos de dados relacionais, Big data, Bitbucket, Ciência de dados, Engenharia de dados, PaaS (Plataforma como serviço), Processamento de dados, Qualidade dos dados, Shell script
Amazon Simple Notification Service (SNS), Benefícios de funcionários, Cursos, Data warehouse, Desenvolvimento profissional, Inglês, Modelagem dimensional, Promoção da inclusão, Snowflake, Trabalho,m,quipe
Análise de dados, Banco de dados Oracle, Habilidades analíticas, Inglês, Java, Neo4j, Python, SQL, Snowflake, Snowflake Cloud
Análise de desempenho, Computação,m nuvem, Habilidades analíticas, Infraestrutura como código (IaC), Insights de negócios, PaaS (Plataforma como serviço), Product Security, Protocolo de controle de transmissão (TCP), Segurança de produtos, Serviços web
ABAP, Chamada de função remota, FTP, JDBC, Português, Processos,mpresariais, SAP FICO, SAP HANA, SOAP, Secure File Transfer Protocol
Automação robótica de processos (RPA), Ciência da computação, Comunicação, Desenvolvimento de API, Documentação técnica, Doutrina, Garantia de qualidade, MongoDB, Requisitos técnicos, Sistemas de telecomunicações
Analítica de dados, Angular (Framework), Ciência de dados, Cocriação, D3.js, Imuno-histoquímica, Interpretação de dados, Mineração de dados, TypeScript, Visualização de dados
Automação de QA, Automação de testes, Documentação, Garantia de qualidade, Inglês, JIRA, Planejamento de testes, Teste de regressão, Teste de software, Testes de API
AngularJS, Desenvolvimento aplicativos da web, Desenvolvimento de front-end, Java, JavaScript, MongoDB, MySQL, NestJS, NoSQL, Teste de integração
Analítica de dados, Angular (Framework), Ciência de dados, Cocriação, D3.js, Imuno-histoquímica, Interpretação de dados, Mineração de dados, TypeScript, Visualização de dados
Adobe Acrobat, Articulação (TI), Comunicação, Gestão de relacionamento com o cliente (CRM), Inglês, Microsoft Excel, Microsoft Office, Microsoft PowerPoint, Relacionamento com clientes, Vendas
ABAP, Administração de folha de pagamento, Contabilidade,statuária, Desenvolvimento de software, Documentos de design, IT Documentation, Metodologias de implementação, SAP Script, Technical Specs, cSAPScript
Ciência da computação, Componentes web do Lightning, Ferramentas de desenvolvimento, Gatilhos de banco de dados, Objetos personalizados, Páginas do Visualforce, SOAP, Sales Cloud da Salesforce, Visual Force, Visual Studio Code
AWS Lambda, Automação de testes, CI, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Gestão de configuração, Kubernetes, Terraform
Análise de tendências, Banco de dados, Cassandra, ETL (Extração, transformação, carregamento), Engenharia de dados, JavaScript, NoSQL, Planejamento de capacidades, Requisitos de negócio, SQL
Desenvolvimento de software, Engenharia,létrica
Contabilidade,statuária, Functionality, Implementação SAP, Produtos SAP, Relacionamento com clientes, SAP BW, SAP ERP, SAP IS, SAP IS-U, SAP Netweaver
AppDynamics, Automação de testes, DevOps, JMeter, LoadRunner, Splunk, Teste de desempenho, Windows Azure
Administração de sistemas Linux, AppDynamics, Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Inglês, Kubernetes, Monitoramento de aplicativos
Engenharia de hardware, ISO 17025, ISO 9001, Planejamento de testes
Arquitetura técnica, Banco de dados, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Functionality, Inglês, Programação (computação), Redação, SDLC (Ciclo de vida do desenvolvimento de software)
Amazon Web Services, Ciência da computação, Comunicação, Confiabilidade, Resolução de problemas, Resposta a incidentes, Root Cause, SRE (Engenharia de confiabilidade do site), Solução de problemas técnicos, Terraform
Administração de sistemas Linux, AppDynamics, Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Inglês, Kubernetes, Monitoramento de aplicativos
Amazon Web Services, Core Banking, Desenvolvimento de software, Design thinking, Dynatrace, Kanban, Metodologias Agile, Programação (computação), Scrum, Sistemas operacionais
Administração de sistemas Linux, AppDynamics, Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Inglês, Kubernetes, Monitoramento de aplicativos
Anypoint Platform da MuleSoft, Análise de sistemas, Banco de dados, Ciência da computação, Comunicação, Comunicação interpessoal, ETL (Extração, transformação, carregamento), Programação de linguagem de consulta, Requisitos de negócio, User Requirements
Amazon Web Services, Python
Banco de dados, Big data, Datasets, Gerenciamento de fluxo de trabalho, Mineração de dados, NoSQL, Otimização, Pipeline de dados, Requisitos de negócio, Scala
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Aplicativos web, Automação de testes, Ciência da computação, Desenvolvimento de back-end, Desenvolvimento de software, Engenharia de Computação, JavaScript, Linux, Next.js, TypeScript
Aplicativos web, Automação de testes, Ciência da computação, Desenvolvimento de back-end, Desenvolvimento de software, Engenharia de Computação, JavaScript, Linux, Next.js, TypeScript
Aplicações SAP, Arquitetura SAP, Contabilidade,statuária, MM modules, Processos,mpresariais, Produtos SAP, SAP ERP, Situações de pressão, WM modules, Warehouse Management SAP
Administração de sistemas Linux, AppDynamics, Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Inglês, Kubernetes, Monitoramento de aplicativos
Capacidade de organização, Comunicação,scrita, Depuração, Editor de texto, Editoriais, Edição, Edição, publicação, Marketing de conteúdo, Marketing digital, Redação
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Aprendizado de máquina, Aprendizado de máquina aplicado, Ciência da computação, Ciência de dados, Comunicação, Inteligência artificial, Java, Large Enterprise, Python, Scala
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
ARIA, Acessibilidade digital, Adaptive Design, CSS, Desenvolvimento de front-end, HTML, Inglês, JavaScript, Princípios de design, WCAG
Administração de sistemas, Análise de cluster, Canal de fibra, Criação de scripts, Implementação de software, Instrumentação de gerenciamento do Windows (WMI), Modelo OSI, Windows Presentation Foundation (WPF), XSL, iSCSI
Armazenamento,m rede (NAS), Block Element Modifier (BEM), Bone, Desenvolvimento de back-end, Exterior, Forte, Interface de programação de aplicativos (API), Ruby
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
CI, Computação,m nuvem, Comunicação, Confiabilidade, Desenvolvimento de produtos, Engenharia,létrica, Integração,,ntrega contínuas (CI/CD), SOA (Arquitetura voltada para serviços), Solução de problemas técnicos
Desenvolvimento de front-end, Doutrina, Drupal, Katalon Studio, MySQL, PHP, PHPUnit, Teste de sistemas, Theming, Web Design Responsivo
Bash, Container Orchestration, Infraestrutura como código (IaC), Integração,,ntrega contínuas (CI/CD), Monitoramento de aplicativos, Python, SRE (Engenharia de confiabilidade do site)
Desenvolvimento de back-end, Desenvolvimento de sistemas, Desenvolvimento orientado ao comportamento, Java, Lógica de negócios, Microsserviços, Network Provisioning, Projeto orientado por domínio, Spring Boot, Spring Framework
Automação de testes, Desenvolvimento de software, Garantia de qualidade, Inglês, Java, Pensamento crítico, Planejamento de testes, Selenium, Teste de regressão, Testes de API
Automação de processos, Automação robótica de processos (RPA), Controle de mudanças, Documentação, Jitterbit, Procedimentos de teste, Processos,mpresariais, Reconhecimento óptico de caracteres, Resolução de problemas, VBA (Visual Basic for Applications)
Bitbucket, CSS, Core Java, Hibernate, IBM Db2, Java, JavaScript, Jenkins, Spring Boot, Spring Data
Análise de sistemas, Banco de dados, Comunicação, Documentação, Habilidades analíticas, Inglês, JIRA, Moderating, Normas ISO, Windows Azure
ABAP, Análise de causa raiz (RCA), Ativos fixos, Entendimento técnico, Especificações de design, FI-AA, Gestão ágil de projetos, Requisitos de negócio, Root Cause,,CATT
Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Especialistas no assunto, Java, Metodologias de desenvolvimento de software, Metodologias ágeis no desenvolvimento de software, SQL, Servidor Windows
Banco de dados, HP QTP, Habilidades analíticas, Solução de problemas técnicos, Suporte técnico, Trabalho,m,quipe
Confiabilidade, Depuração, Design de sistemas, Detecção de falhas, Experiência,m codificação, Java, Níveis de serviço, Python, Root Cause, System Performance
C++, Desenvolvimento Linux, Embedded Linux, Inglês, Linguagens de programação, Linux, Multithreading, Receptor/transmissor assíncrono universal, Teste de unidade, UML (Linguagem de modelagem unificada)
Confiabilidade, Depuração, Design de sistemas, Detecção de falhas, Experiência,m codificação, Java, Níveis de serviço, Python, Root Cause, System Performance
Criação de template, DNS (Sistema de nomes de domínio), Engenharia de sistemas, Levantamento de requisitos, Modelagem, Modelagem dimensional, Modelos de dados, Otimização, PySpark, Solução de problemas técnicos
ABAP, Administração de folha de pagamento, Contabilidade,statuária, Desenvolvimento de software, Documentos de design, IT Documentation, Metodologias de implementação, SAP Script, Technical Specs, cSAPScript
Confiabilidade, Depuração, Design de sistemas, Detecção de falhas, Experiência,m codificação, Java, Níveis de serviço, Python, Root Cause, System Performance
Confiabilidade, Depuração, Design de sistemas, Detecção de falhas, Experiência,m codificação, Java, Níveis de serviço, Python, Root Cause, System Performance
AJAX, ASP.NET, ASP.NET MVC, Analyzer, Banco de dados, HTML, Java, Mainframe, Microfocus, SQL
Análise de causa raiz (RCA), Client Requirements, Customer Satisfaction (CSAT), Desenvolvimento de software, Fluxogramas, Habilidades analíticas, Lists, Requisitos de software, Root Cause, Validação de software
