Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
Amazon Web Services; CSS; Desenvolvimento aplicativos da web; Desenvolvimento de front-end; HTML5; Next.js; React.js; SQL; Web Design Responsivo;;;;;;;
Amazon Simple Notification Service (SNS); Boas práticas de programação; HTML; Interface de programação de aplicativos (API); Java; JavaScript; Metodologias ágeis;;m cascata; Monitoramento de aplicativos; PaaS (Plataforma como serviço); Programação (computação);;;;
Definição de requisitos;;;;;;;;;;;;;;;
Acesso de banda larga; Desenvolvimento de front-end; JavaScript; Product Specification; Tecnologias;mergentes;;;;;;;;;;
Análise de documentos; Comunicação; Comunicação interpessoal; Comércio internacional; Criação de relacionamentos; Economia; Redação; Relacionamentos interpessoais; Resiliência; Trabalho;m;quipe;;;;
Aplicativos móveis; CSS; Desenvolvimento de front-end; Desenvolvimento de software; Experiência do usuário (UX); HTML; JavaScript; Produtos de consumo; Templating; Web Design Responsivo;;;;;;
Algoritmos; CSS; Desenvolvimento de aplicativos móveis; Desenvolvimento de front-end; Desenvolvimento de software; Design de algoritmos; HTML; JavaScript; Mobile Software Development; TypeScript;;;;;;
BPMN; CSS; Desenvolvimento orientado a testes; Git; Java; JavaScript; Kotlin; SASS; Spring Framework; TypeScript;;;;;;
Ciência da computação; Desenvolvimento de software; Engenharia de Computação; Linguagens de programação; Resolução de problemas;;;;;;;;;;;
Blockchain; Ethereum; Express.js; JavaScript; MySQL; Node.js; React Native; React.js; Solidity;;;;;;;
Desenvolvimento de front-end; IO (linguagem de programação);;;;;;;;;;;;;;
CSS; HTML; JavaScript; SASS; Vanilla;;;;;;;;;;;
CSS; Desenvolvimento aplicativos da web; Desenvolvimento de software; Docker; HTML; Inglês; JavaScript; MobX; Princípios de design; Resolução de problemas;;;;;;
Criação de filhos; GoldMine (CRM); Identificação de oportunidade; Lógica; Marketing Cloud da Salesforce; Microsoft Excel; Paternity; Programação lógica; Relatório; Trabalho;m;quipe;;;;
Azure DevOps; Bamboo; Bash; Criação de scripts; DevOps; Docker; Java; Python; Windows Azure; Windows PowerShell;;;;;;
Definição de requisitos; Node.js; React.js; Requisitos técnicos;;;;;;;;;;;;
Aplicativo de relatórios; Definição de requisitos; Desenvolvimento de front-end; Experiência do usuário (UX); Highcharts; Interfaces; Intuitiveness; Obrigação de reporte de informações; TypeScript; Visualização;;;;;;
Algoritmos; CSS; Desenvolvimento de aplicativos móveis; Desenvolvimento de front-end; Desenvolvimento de software; Design de algoritmos; HTML; JavaScript; Mobile Software Development; TypeScript;;;;;;
Design de;xperiência do usuário (UX); Liderança de;quipe;;;;;;;;;;;;
CMMI (Modelo integrado de maturidade;m capacitação); Garantia de qualidade; Garantia de qualidade de software; Habilidades analíticas; Inglês; MIL-STD; Microsoft Excel; Microsoft Office; Microsoft Visio; Normas ISO;;;;;
Ambiente ágil; C#; CSS; Desenvolvimento de software; HTML; Java; JavaScript; Programação (computação); Programação lógica; Trabalho;m;quipe;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
Angular (Framework); Banco de dados; Bancos de dados relacionais; CSS; Desenvolvimento de back-end; Desenvolvimento full stack; EJB; HTML; JPA (Java Persistence API); Java; Resolução de problemas;;;;;
Arquitetura técnica; Conselho técnico; Definição de requisitos; Desenvolvimento de software; Implantação de software; Job Skills; Requisitos de negócio; Requisitos técnicos; Resolução de problemas; SDLC (Ciclo de vida do desenvolvimento de software);;;;;;
CSS; Desenvolvimento de back-end; Desenvolvimento de front-end; HTML; Hooks; Redux.js;;;;;;;;;;
Babel.js; Bancos de dados relacionais; ESLint; Filas; HTML; Java; JavaScript; PostgreSQL; React.js; Webpack;;;;;;
Administração; Documentação; Gestão logística; Indústria manufatureira; Linhas de produção; Litígios; Microsoft Excel; PCP; Planilha;letrônica; Sistemas operacionais;;;;;
CSS; Certificação ITIL; Gestão de;ventos; ITIL; Instrução; JavaScript; Programação (computação); Programação lógica; ServiceNow; Serviços web;;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
Atenção a detalhes; Definição de requisitos; Depuração; Desenvolvimento de front-end; Levantamento de requisitos; Princípios de design; React.js; Responsividade; TypeScript; Web Design Responsivo;;;;;;
Ciclo de vida de produto; Ciência da computação; Desenvolvimento de software; Estratégia de produtos; Liderança de;quipe; Liderança técnica; Professional Services Industries; Skill Development;;;;;;;
Central de operações de rede (NOC); Definição de requisitos; Requisitos técnicos; SEU; Solução de problemas técnicos; Suporte técnico; User Requirements;;;;;;;;;
Aquisição de conhecimento; CI; Conselho técnico; Conteinerização; Fornecimento contínuo; HTML5; Integração contínua; Job Skills; Resolução de problemas; Solution Building;;;;;;
Aquisição de conhecimento; Computerized System Validation (CSV); Professional Services Industries; Programação (computação); Pré-vendas; Rede de computadores; Solução de problemas técnicos; Workable Solutions;;;;;;;;
Aplicativos móveis; CSS; Desenvolvimento de front-end; Desenvolvimento de software; Experiência do usuário (UX); HTML; JavaScript; Produtos de consumo; Templating; Web Design Responsivo;;;;;;
Algoritmos; Comunicação; Desenvolvimento de software; Estruturas de dados; Inglês;;;;;;;;;;;
Amazon Web Services; Ansible; Apache Maven; DevOps; Java; Python; REST (Transferência de;stado representacional ); Sonarqube; Spinnaker; Terraform;;;;;
Análise de sistemas; Assistência ao produto; Definição de requisitos; Desenvolvimento de back-end; Desenvolvimento de front-end; Desenvolvimento full stack; Industry standards; Metodologias Agile; Stack; User Requirements;;;;;;
Aplicativos web; Arquitetura MVC; Arquitetura de soluções; CSS; Inglês; JavaScript; Programação orientada a objetos (POO); SAP Commerce Cloud; Salesforce Commerce Cloud (SFCC); Salesforce.com;;;;;;
Angular (Framework); Aplicativos web; Desenvolvimento aplicativos da web; Desenvolvimento de front-end; HTML; Interface de programação de aplicativos (API); TypeScript;;;;;;;;;
Banco de dados; Comunicação; Dados de teste; Desenvolvimento de software; Design de;xperiência; Documentação; Estudos de casos; Garantia de qualidade; Inglês; Testes de banco de dados;;;;;
Ciclo de vida de produto; Ciência da computação; Desenvolvimento de software; Estratégia de produtos; Liderança de;quipe; Liderança técnica; Professional Services Industries; Skill Development;;;;;;;
Arquitetura técnica; CSS; Diagnostic Assessment; Estruturas de dados; Orientação de serviços; Padrões de design; Professional Services Industries; Python; SOA (Arquitetura voltada para serviços); TypeScript;;;;;;
Ambiente colaborativo; Anypoint Platform da MuleSoft; Consultoria de gerenciamento; Integração de software; Interface de programação de aplicativos (API); Levantamento de requisitos; Metodologias Agile; Promoção da inclusão; RAML; Serviços profissionais;;;;;;
CI; Competências pessoais; sociais; Desenvolvimento de back-end; Integração contínua; JavaScript; Kanban; Node.js; RabbitMQ; SQL; Scrum;;;;;
CSS; Certificação ITIL; Gestão de;ventos; ITIL; Instrução; JavaScript; Programação (computação); Programação lógica; ServiceNow;;;;;;
Chinês; Ciência da computação; Engenharia; Firmware; Gestão de projetos; Inglês; Levantamento de requisitos; Português; Pré-vendas; Suporte técnico;;;;;;
Adobe Creative Cloud; Apresentações; Comunicação; Desenvolvimento de apresentações; Design gráfico; Diversidade; inclusão; Inglês; Propaganda comercial; Publicidade;;;;;;
CMMI (Modelo integrado de maturidade;m capacitação); Garantia de qualidade; Garantia de qualidade de software; Habilidades analíticas; Inglês; MIL-STD; Microsoft Excel; Microsoft Office; Microsoft Visio; Normas ISO;;;;;
Criação de filhos; GoldMine (CRM); Identificação de oportunidade; Lógica; Marketing Cloud da Salesforce; Microsoft Excel; Paternity; Programação lógica; Relatório; Trabalho;m;quipe;;;;
Angular (Framework); Computação;m nuvem; DevOps; Dynatrace; Java; JavaScript; Microsoft Office; SQL; Websphere;;;;;;
Amazon Web Services; CSS; Desenvolvimento aplicativos da web; Desenvolvimento de front-end; HTML5; Next.js; React.js; SQL; Web Design Responsivo;;;;;;;
Análise de dados; Desenvolvimento de relatório; Estatística; JavaScript; Modelagem de dados; Qlik Sense; SPSS; SQL; Statistical Packages; XML;;;;;;
Team Productivity;;;;;;;;;;;;;;;
Análise forense; Aquisição de conhecimento; Automação de testes; Desenvolvimento de back-end; Desenvolvimento de software; Garantia de qualidade; Multitarefa; Planejamento de testes; Qualidade do produto; Teste de regressão;;;;;;
Automação; Garantia de qualidade; Instrumentação; PLC Allen Bradley; Programação de PLC; Programação de interface homem-máquina; SCADA (Sistemas de supervisão; aquisição de dados); Solução de problemas técnicos;;;;;;;
CMMS; Comando; Computação paralela; Definição de requisitos; Desenvolvimento de front-end; Inglês; Otimização; Programação (computação); React.js; TypeScript;;;;;;
Apache Maven; Hibernate; JPA (Java Persistence API); JSP (JavaServer Pages); Java; SOAP; Servidor de Aplicação JBoss; Spring Framework; Spring MVC; WebLogic;;;;;;
Acessibilidade; Aplicativos web; Estética; Experiência do usuário (UX); Padrões de design; Responsividade; Shopify; Web Accessibility; Web Design Responsivo; Web design;;;;;;
API REST; Administração do ServiceNow; Catálogos de serviços; Certificação ITIL; HTML; Inglês; JavaScript; SOAP; ServiceNow; Tecnologias da web; XML;;;;;
Ansible; Desenvolvimento Java; Java; OpenShift; Red Hat Enterprise Linux (RHEL); Red Hat Linux;;;;;;;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
API REST; CSS; Design de;xperiência do usuário (UX); Design de interface do usuário; HTML5; JavaScript; React.js;;;;;;;;
Ansible; Computação;m nuvem; GitHub; Google Cloud Platform (GCP); Inglês; JIRA; Jenkins; Linux; Python; ServiceNow; Windows Azure;;;;
Desenvolvimento de aplicativos móveis; Google Cloud Platform (GCP); Google Kubernetes Engine (GKE); Inglês; Microsoft Office; Node.js; Programação (computação); TypeScript;;;;;;;;
JavaScript;;;;;;;;;;;;;;;
Angular (Framework); AngularJS; Banco de dados; Desenvolvimento full stack; Desenvolvimento profissional; Gestão de investimentos; Java; JavaScript; Microsoft Office; Promoção da inclusão;;;;;;
Azure DevOps; Docker; Java; Jenkins; Linux; Perl; Python; Unix; Windows Azure;;;;;;;
Garantia de qualidade; Testes manuais;;;;;;;;;;;;;;
Arquitetura; Arquitetura de software; C++; Gestão de identidades; acessos; JavaScript; Modelo de objeto de documentos; Rastreabilidade; Regras;mpresariais; Teste A/B; XML;;;;
Análise de requisitos; C++; Desenvolvimento de software; Git; Programação orientada a objetos (POO); Python; QML; Qt; Simulink; Stateflow;;;;;;
Custom Controls; Definição de requisitos; Design de interface do usuário; Experiência do usuário (UX); JavaScript; Requisitos de produto; Software de código aberto;;;;;;;;;
C++; Ensino superior; Interface de programação de aplicativos (API); JIRA; TOTVS Protheus; Varejo;;;;;;;;;;
Computação; Cursos; Estratégia de TI; Gerenciamento de serviços de TI; Gestão de TI; Java; JavaScript; Operações de TI; Programação (computação); Tecnologia da informação;;;;;;
Algoritmos; Aquisição de dados; Ciência da computação; Code Design; Definição de requisitos; Design de algoritmos; Planejamento de capacidades; Requisitos de produto; Resolução de problemas; Roteiro de produtos;;;;;;
Acessibilidade; Aplicativos web; Estética; Experiência do usuário (UX); Padrões de design; Responsividade; Shopify; Web Accessibility; Web Design Responsivo; Web design;;;;;;
Desenvolvimento de plataformas; Habilidades analíticas; Inglês; Lightning; Oracle Application Express; SAP Authorizations; Salesforce.com; ServiceMax Asset Service Management; Serviços de consultoria; Teste de unidade; Veeva Vault; Visual Force;;;;
Angular (Framework); Desenvolvimento profissional; Java; Liderança; Planejamento de carreira; Promoção da inclusão; Software; Trails; Transformações;;;;;;;
Comunicação; Desenvolvimento de front-end; Desenvolvimento de plataformas; SQL; VTEX Platform;;;;;;;;;;;
Análise forense; Aquisição de conhecimento; Automação de testes; Desenvolvimento de back-end; Desenvolvimento de software; Garantia de qualidade; Multitarefa; Planejamento de testes; Qualidade do produto; Teste de regressão;;;;;;
AKS (Serviço de Kubernetes do Azure); Docker; Google Cloud Platform (GCP); Google Kubernetes Engine (GKE); Kubernetes; Terraform;;;;;;;;;;
Amazon Web Services; DevOps; Docker; Git; Integração;;ntrega contínuas (CI/CD); Java; Jenkins; Kubernetes; Linux; Sonarqube;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
Análise de requisitos; C++; Desenvolvimento de software; Git; Microcontroladores; Programação orientada a objetos (POO); Python; QML; Qt; Simulink;;;;;;
CSS; Desenvolvimento orientado ao comportamento; Git; Gulp.js; HTML; JavaScript; Linguagens de programação; Programação (computação); SASS; Webpack;;;;;;
Alemão; Comunicação; Gestão de projetos; Inglês; Inteligência de negócios (BI); Método do caminho crítico (CPM); Pensamento crítico; Planejamento;m Sprint; Previsão de vendas; Resolução de problemas;;;;;
Definição de requisitos; Estudos de casos; Ferramentas de automação de testes; HTML5; Lógica de negócios; Planejamento de testes; Requisitos de negócio; Resolução de problemas; Solution Building; Teste de regressão;;;;;;
Amazon Web Services; DevOps; Docker; Git; Integração;;ntrega contínuas (CI/CD); Java; Jenkins; Kubernetes; Linux; Sonarqube;;;;
Aplicativos móveis; CSS; Desenvolvimento de front-end; Desenvolvimento de software; Experiência do usuário (UX); HTML; JavaScript; Produtos de consumo; Templating; Web Design Responsivo;;;;;;
CSS; Desenvolvimento orientado ao comportamento; Git; Gulp.js; HTML; JavaScript; Linguagens de programação; Programação (computação); SASS; Webpack;;;;;;
Interfaces; Otimização de página; Padrões de design;;;;;;;;;;;;;
CSS; Computação;m nuvem; Desenvolvimento de soluções; Desenvolvimento profissional; JavaScript; Marketing; Marketing Cloud da Salesforce; SQL; Salesforce.com;;;;;;
C++; Gestão de configuração de software; Git; Interface de programação de aplicativos (API); Linux; New Relic; PaaS (Plataforma como serviço); Product Security; Protocolo de controle de transmissão (TCP); Soluções de pagamento;;;;;;
Aquisição de conhecimento; C++; Desenvolvimento de software; Inglês; Moldes de costura; Node.js; Padrões de design; React.js; Skill Development; XML;;;;;;
Análise forense; Aquisição de conhecimento; Automação de testes; Desenvolvimento de back-end; Desenvolvimento de software; Garantia de qualidade; Multitarefa; Planejamento de testes; Qualidade do produto; Teste de regressão;;;;;;
Arquitetura técnica; Conselho técnico; Definição de requisitos; Desenvolvimento de software; Implantação de software; Lógica de negócios; Requisitos de negócio; Requisitos técnicos; Resolução de problemas; SDLC (Ciclo de vida do desenvolvimento de software);;;;;;
Back-end Operations; Definição de requisitos; Desenvolvimento de API; Desenvolvimento de back-end; FastAPI; Go (Linguagem de programação); Lado do servidor; Node.js; Python; TypeScript;;;;;;
Articulação (TI); Desenvolvimento Java; Habilidades analíticas; Interface de programação de aplicativos (API); Java; Manutenção; Manutenção de sistemas; Parcerias; Suporte de aplicativo; Tecnologia da informação; Treatment; Triagem (TI);;;;
Comunicação; Configuração de sistema; Definição de requisitos; Industry standards; Metodologias Agile; Método criativo de solução de problemas; Preparação de casos de negócios; Regras;mpresariais; Requisitos de negócio; Scripts de testes;;;;;
Aquisição de conhecimento; C++; Desenvolvimento de software; Inglês; Moldes de costura; Node.js; Padrões de design; React.js; Skill Development; XML;;;;;;
Ambiente ágil; Análise de dados; Análise numérica; Apresentações; Catalyst; Dados geoespaciais; Desenvolvimento de sistemas; Estatística; Interface de programação de aplicativos (API); Preparação de relatórios;;;;;;
Apresentações; Comunicação; Desenvolvimento de aplicativos; Documentação; Garantia de qualidade de software; Processo de testes; Programmes; Relatório; Setor de pagamentos; XML;;;;;;
Análise forense; Aquisição de conhecimento; Automação de testes; Desenvolvimento de back-end; Desenvolvimento de software; Garantia de qualidade; Multitarefa; Planejamento de testes; Qualidade do produto; Teste de regressão;;;;;;
Back-end Operations; Definição de requisitos; Desenvolvimento de API; Desenvolvimento de back-end; FastAPI; Go (Linguagem de programação); Lado do servidor; Node.js; Python; TypeScript;;;;;;
Boas práticas de fabricação (BPF); Boas práticas de fabricação atuais; Comunicação; Engenharia; Engenharia de produto; Engenharia de projetos; Equipamento de proteção individual (EPI); Liderança de;quipe; Software de contabilidade; Trabalho;m;quipe;;;
Angular (Framework); Banco de dados Oracle; Desenvolvimento full stack; Inglês; Java; Lado do servidor; Programação (computação); SQL; Spring Boot; Spring Framework;;;;;;
Automação de QA; Garantia de qualidade;;;;;;;;;;;;;;
Angular (Framework); Aplicativos web; CSS; HTML; Inglês; Java; JavaScript; Microsserviços; Spring Boot; TypeScript;;;;;;
Desenvolvimento de plataformas; Habilidades analíticas; Inglês; Lightning; Salesforce.com; Teste de unidade; Trabalho;m;quipe; Visual Force;;;;;;
Ansible; Automação de infraestrutura; CircleCI; Desenvolvimento de software; Git; Inglês; Jenkins; Kubernetes; Terraform;;;;;;;
Back-end Operations; Definição de requisitos; Desenvolvimento de API; Desenvolvimento de back-end; FastAPI; Go (Linguagem de programação); Lado do servidor; Node.js; Python; TypeScript;;;;;;
Arquitetura de software; Definição de requisitos; Desenvolvimento de back-end; Firebase; Interface de programação de aplicativos (API); JavaScript; Jest; MongoDB; NoSQL; OAuth; React Native; Refatoração; SGBD; TypeScript;;
Gestão de vulnerabilidade; IBM Db2; Inglês; Instalação de controle de acesso de recursos; JCL; MVS; Mainframe; REXX; SMP/E; VSAM; z/OS;;;;;
Angular (Framework); Aplicativos web; CSS; HTML; Inglês; Java; JavaScript; Microsserviços; Spring Boot; TypeScript;;;;;;
Produtos SAP;;;;;;;;;;;;;;;
Engenharia; Engenharia de produção; Linhas de produção; Microsoft Office;;;;;;;;;;;;
Redação;;;;;;;;;;;;;;;
Definição de requisitos; Node.js; React.js; Requisitos técnicos;;;;;;;;;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
Atuação;m palco; Desenvolvimento de sistemas; Desenvolvimento web; Documentação técnica; HTML; JavaScript; Melhoria contínua; Normas técnicas; PaaS (Plataforma como serviço); Sistema de qualidade;;;;;
Análise de dados; Comunicação; Customer Satisfaction (CSAT); Gestão de conteúdo; Inglês; Métricas de desempenho; Processamento de pedidos; Satisfação do cliente; Suporte ao cliente; Trabalho;m;quipe;;;;
ABAP; Groovy; Inglês; Levantamento de requisitos; Melhoria contínua de processos; Produtos SAP; SAP ERP; SAP Integration; SAP Netweaver;;;;;;;
Apresentações; Comunicação; Desenvolvimento de aplicativos; Documentação; Garantia de qualidade de software; Processo de testes; Programmes; Relatório; Setor de pagamentos; XML;;;;;;
Aplicativos web; CSS; Ciência da computação; Docker; HTML; Inglês; JavaScript; Kotlin; Kubernetes; Node.js;;;;;;
Acessibilidade; Aplicativos web; Estética; Experiência do usuário (UX); Padrões de design; Responsividade; Shopify; Web Accessibility; Web Design Responsivo; Web design;;;;;;
Aquisição de conhecimento; CI; Conselho técnico; Conteinerização; Fornecimento contínuo; HTML5; Integração contínua; Job Skills; Resolução de problemas; Solution Building;;;;;;
Ajuste de desempenho; Computação; Criação de template; Engenharia de Computação; Engenharia de dados; Levantamento de requisitos; Modelagem dimensional; Modelos de dados; Soluções de pagamento; Visualização de dados;;;;;;
Angular (Framework); CSS; JavaScript; React.js;;;;;;;;;;;;
